Date,Time,Water intake
2024.12.13 00.00,00.00,15.43
2024.12.13 00.01,00.01,14.58
2024.12.13 00.02,00.02,14.79
2024.12.13 00.03,00.03,14.76
2024.12.13 00.04,00.04,13.9
2024.12.13 00.05,00.05,13.21
2024.12.13 00.06,00.06,11.81
2024.12.13 00.07,00.07,12.34
2024.12.13 00.08,00.08,12.69
2024.12.13 00.09,00.09,13.36
2024.12.13 00.10,00.10,13.74
2024.12.13 00.11,00.11,13.98
2024.12.13 00.12,00.12,13.55
2024.12.13 00.13,00.13,13.88
2024.12.13 00.14,00.14,14.39
2024.12.13 00.15,00.15,14.45
2024.12.13 00.16,00.16,15.13
2024.12.13 00.17,00.17,15.3
2024.12.13 00.18,00.18,14.08
2024.12.13 00.19,00.19,14.48
2024.12.13 00.20,00.20,14.07
2024.12.13 00.21,00.21,13.87
2024.12.13 00.22,00.22,14.15
2024.12.13 00.23,00.23,14.03
2024.12.13 00.24,00.24,13.69
2024.12.13 00.25,00.25,13.59
2024.12.13 00.26,00.26,15.45
2024.12.13 00.27,00.27,14.43
2024.12.13 00.28,00.28,13.46
2024.12.13 00.29,00.29,12.74
2024.12.13 00.30,00.30,12.37
2024.12.13 00.31,00.31,12.47
2024.12.13 00.32,00.32,13.94
2024.12.13 00.33,00.33,15.49
2024.12.13 00.34,00.34,15.81
2024.12.13 00.35,00.35,15.65
2024.12.13 00.36,00.36,16.0
2024.12.13 00.37,00.37,15.07
2024.12.13 00.38,00.38,14.31
2024.12.13 00.39,00.39,13.37
2024.12.13 00.40,00.40,13.29
2024.12.13 00.41,00.41,13.45
2024.12.13 00.42,00.42,14.84
2024.12.13 00.43,00.43,14.19
2024.12.13 00.44,00.44,14.8
2024.12.13 00.45,00.45,14.45
2024.12.13 00.46,00.46,14.29
2024.12.13 00.47,00.47,14.49
2024.12.13 00.48,00.48,14.57
2024.12.13 00.49,00.49,15.19
2024.12.13 00.50,00.50,15.27
2024.12.13 00.51,00.51,14.77
2024.12.13 00.52,00.52,14.03
2024.12.13 00.53,00.53,13.92
2024.12.13 00.54,00.54,14.08
2024.12.13 00.55,00.55,14.92
2024.12.13 00.56,00.56,13.53
