Date,Time,Water intake
2024.12.02 00.00,00.00,15.31
2024.12.02 00.01,00.01,15.74
2024.12.02 00.02,00.02,15.49
2024.12.02 00.03,00.03,14.96
2024.12.02 00.04,00.04,15.09
2024.12.02 00.05,00.05,14.54
2024.12.02 00.06,00.06,14.86
2024.12.02 00.07,00.07,14.6
2024.12.02 00.08,00.08,13.99
2024.12.02 00.09,00.09,14.31
2024.12.02 00.10,00.10,15.31
2024.12.02 00.11,00.11,15.1
2024.12.02 00.12,00.12,15.68
2024.12.02 00.13,00.13,16.62
2024.12.02 00.14,00.14,15.84
2024.12.02 00.15,00.15,15.96
2024.12.02 00.16,00.16,15.08
2024.12.02 00.17,00.17,14.63
2024.12.02 00.18,00.18,14.99
2024.12.02 00.19,00.19,14.99
2024.12.02 00.20,00.20,14.09
2024.12.02 00.21,00.21,14.08
2024.12.02 00.22,00.22,14.86
2024.12.02 00.23,00.23,15.06
2024.12.02 00.24,00.24,15.32
2024.12.02 00.25,00.25,14.76
2024.12.02 00.26,00.26,13.92
2024.12.02 00.27,00.27,13.13
2024.12.02 00.28,00.28,12.57
2024.12.02 00.29,00.29,12.89
2024.12.02 00.30,00.30,13.06
2024.12.02 00.31,00.31,13.63
2024.12.02 00.32,00.32,13.03
2024.12.02 00.33,00.33,13.99
2024.12.02 00.34,00.34,13.97
2024.12.02 00.35,00.35,13.79
2024.12.02 00.36,00.36,12.85
2024.12.02 00.37,00.37,12.66
2024.12.02 00.38,00.38,12.78
2024.12.02 00.39,00.39,12.88
2024.12.02 00.40,00.40,12.45
2024.12.02 00.41,00.41,12.25
2024.12.02 00.42,00.42,12.66
2024.12.02 00.43,00.43,13.16
2024.12.02 00.44,00.44,13.26
2024.12.02 00.45,00.45,13.39
2024.12.02 00.46,00.46,14.23
2024.12.02 00.47,00.47,15.24
2024.12.02 00.48,00.48,14.02
2024.12.02 00.49,00.49,14.18
2024.12.02 00.50,00.50,14.41
2024.12.02 00.51,00.51,13.88
2024.12.02 00.52,00.52,14.19
2024.12.02 00.53,00.53,14.61
2024.12.02 00.54,00.54,13.78
2024.12.02 00.55,00.55,13.55
2024.12.02 00.56,00.56,13.99
2024.12.02 00.57,00.57,13.96
2024.12.02 00.58,00.58,13.59
2024.12.02 00.59,00.59,13.49
2024.12.02 01.00,01.00,13.95
2024.12.02 01.01,01.01,12.99
2024.12.02 01.02,01.02,13.46
2024.12.02 01.04,01.04,13.26
2024.12.02 01.05,01.05,11.81
2024.12.02 01.06,01.06,10.14
2024.12.02 01.07,01.07,9.62
2024.12.02 01.08,01.08,9.21
2024.12.02 01.09,01.09,9.07
2024.12.02 01.10,01.10,9.65
2024.12.02 01.11,01.11,9.43
2024.12.02 01.12,01.12,10.37
2024.12.02 01.13,01.13,10.72
2024.12.02 01.14,01.14,13.79
2024.12.02 01.15,01.15,15.37
2024.12.02 01.16,01.16,15.9
2024.12.02 01.17,01.17,16.6
2024.12.02 01.18,01.18,15.95
2024.12.02 01.19,01.19,16.79
2024.12.02 01.20,01.20,15.84
2024.12.02 01.21,01.21,15.37
2024.12.02 01.22,01.22,15.63
2024.12.02 01.23,01.23,16.62
2024.12.02 01.24,01.24,16.02
2024.12.02 01.25,01.25,15.65
2024.12.02 01.26,01.26,15.95
2024.12.02 01.27,01.27,15.51
2024.12.02 01.28,01.28,15.25
2024.12.02 01.29,01.29,15.44
2024.12.02 01.30,01.30,14.76
2024.12.02 01.31,01.31,14.62
