Date,Time,Duration in seconds,Sleep stage
2025.10.10 23:48:14,23:48:14,600,light
2025.10.10 23:58:14,23:58:14,1860,deep
2025.10.11 00:29:14,00:29:14,1200,light
2025.10.11 00:49:14,00:49:14,780,rem
2025.10.11 01:02:14,01:02:14,660,light
2025.10.11 01:13:14,01:13:14,1800,awake
2025.10.11 01:43:14,01:43:14,780,light
2025.10.11 01:56:14,01:56:14,3420,awake
2025.10.11 02:53:14,02:53:14,600,light
2025.10.11 03:03:14,03:03:14,780,deep
2025.10.11 03:16:14,03:16:14,6300,awake
2025.10.11 05:01:14,05:01:14,1440,light
2025.10.11 05:25:14,05:25:14,600,awake
2025.10.11 05:35:14,05:35:14,1020,light
2025.10.11 05:52:14,05:52:14,1080,awake
2025.10.11 06:10:14,06:10:14,480,light
2025.10.11 06:18:14,06:18:14,420,deep
2025.10.11 06:25:14,06:25:14,2160,awake
2025.10.11 07:01:14,07:01:14,900,light
2025.10.11 07:16:14,07:16:14,60,awake
2025.10.11 07:17:14,07:17:14,1020,light
2025.10.11 07:34:14,07:34:14,1500,awake
2025.10.11 07:59:14,07:59:14,600,light
2025.10.11 08:09:14,08:09:14,300,deep
2025.10.11 08:14:14,08:14:14,600,light
2025.10.11 08:24:14,08:24:14,900,deep
2025.10.11 08:39:14,08:39:14,780,awake
2025.10.11 08:52:14,08:52:14,60,light
2025.10.11 08:53:14,08:53:14,2520,rem
2025.10.11 21:00:00,21:00:00,27650,light
2025.10.12 04:40:50,04:40:50,2880,deep
2025.10.12 05:28:50,05:28:50,180,light
2025.10.12 05:31:50,05:31:50,1260,rem
2025.10.12 05:52:50,05:52:50,1740,light
2025.10.12 06:21:50,06:21:50,420,rem
2025.10.12 06:28:50,06:28:50,960,light
2025.10.12 06:44:50,06:44:50,780,rem
2025.10.12 06:57:50,06:57:50,10920,light
2025.10.13 01:25:15,01:25:15,600,light
2025.10.13 01:35:15,01:35:15,1440,deep
2025.10.13 01:59:15,01:59:15,2100,light
2025.10.13 02:34:15,02:34:15,360,awake
2025.10.13 02:40:15,02:40:15,780,light
2025.10.13 02:53:15,02:53:15,420,awake
2025.10.13 03:00:15,03:00:15,2580,light
2025.10.13 03:43:15,03:43:15,60,awake
2025.10.13 03:44:15,03:44:15,720,light
2025.10.13 03:56:15,03:56:15,960,deep
2025.10.13 04:12:15,04:12:15,1200,light
2025.10.13 04:32:15,04:32:15,420,awake
2025.10.13 04:39:15,04:39:15,1500,light
2025.10.13 05:04:15,05:04:15,60,awake
2025.10.13 05:05:15,05:05:15,420,light
2025.10.13 05:12:15,05:12:15,1200,rem
2025.10.13 05:32:15,05:32:15,60,awake
2025.10.13 05:33:15,05:33:15,1860,light
2025.10.14 04:04:01,04:04:01,1200,light
2025.10.14 04:24:01,04:24:01,360,deep
